episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS,original_reward
26,2625.4000000000005,217.90000000000003,49.0,435.7999999999999,610.0,2215.0,453,86.86274509803921,573.1304347826087,13,13,100.0,3527.4666666666667,23,48,71,1312.6999999999998
27,6888.821428571426,219.19999999999993,87.33690476190476,441.59999999999997,400.0,2226.0,312,87.29411764705883,649.0,8,8,100.0,2786.0666666666666,24,55,71,1148.1369047619053
28,7401.709090909092,213.89999999999995,91.11818181818181,428.5999999999999,500.0,2175.0,154,85.29411764705883,686.304347826087,10,10,100.0,2815.6666666666665,25,34,71,1233.6181818181817
29,7148.2421637186335,226.50000000000003,62.07369395310571,452.79999999999995,450.0,2301.0,2,90.23529411764706,657.3478260869565,9,9,100.0,2756.266666666667,26,51,71,1191.3736939531066
30,7119.374789915971,215.10000000000008,90.06246498599441,431.3999999999999,450.0,2187.0,98,85.76470588235294,697.5217391304348,9,9,100.0,2696.733333333333,27,33,71,1186.5624649859942
31,6455.346103896104,221.10000000000002,73.19101731601731,441.6,340.0,2247.0,137,88.11764705882354,655.8695652173913,9,9,100.0,3735.5333333333333,28,19,71,1075.891017316017
32,6735.800000000001,220.19999999999993,50.03333333333334,442.39999999999986,410.0,2241.0,108,87.88235294117646,662.4347826086956,10,10,100.0,3586.9333333333334,29,40,71,1122.6333333333332
33,6464.1817669172915,220.49999999999991,73.66362781954886,443.1999999999998,340.0,2241.0,57,87.88235294117646,688.3478260869565,14,14,100.0,5693.533333333334,30,15,71,1077.363627819549
34,6433.592857142858,218.50000000000006,74.96547619047618,438.79999999999995,340.0,2221.0,100,87.09803921568627,656.6521739130435,10,10,100.0,4061.4,31,16,71,1072.265476190476
35,6945.149999999998,226.2,68.92500000000001,452.39999999999986,410.0,2298.0,108,90.11764705882352,652.3478260869565,11,11,100.0,4002.5333333333333,32,15,71,1157.525
36,7354.024000999002,216.20000000000002,74.27066683316683,435.2000000000001,500.0,2198.0,179,86.19607843137254,677.2608695652174,14,14,100.0,4447.133333333333,33,21,71,1225.6706668331672
37,7038.985714285713,224.80000000000007,69.1642857142857,449.1999999999998,430.0,2284.0,119,89.56862745098039,657.5652173913044,11,11,100.0,3705.866666666667,34,11,71,1173.1642857142863
38,6273.525000000002,217.80000000000004,68.5875,439.19999999999993,320.0,2214.0,130,86.82352941176471,690.2173913043479,10,10,100.0,4328.8,35,15,71,1045.5875000000003
39,6248.600000000002,224.79999999999995,76.43333333333334,450.19999999999993,290.0,2284.0,140,89.56862745098039,665.6521739130435,10,10,100.0,4447.4,36,37,71,1041.4333333333334
40,6792.28051948052,218.0,68.84675324675324,435.2000000000001,410.0,2216.0,49,86.90196078431373,677.8695652173913,12,12,100.0,4714.066666666667,37,43,71,1132.0467532467533
41,7084.82949525178,213.69999999999996,80.70491587529646,426.40000000000003,460.0,2173.0,66,85.2156862745098,681.0434782608696,15,15,100.0,5485.466666666666,38,37,71,1180.8049158752963
42,6552.92727272727,217.59999999999997,78.95454545454545,435.59999999999997,360.0,2212.0,70,86.74509803921569,700.4782608695652,9,9,100.0,3379.2,39,35,71,1092.1545454545458
43,7278.531818181819,213.29999999999998,97.58863636363635,432.19999999999993,470.0,2169.0,51,85.05882352941177,700.8260869565217,11,11,100.0,3379.2,40,32,71,1213.088636363636
44,6665.379946524065,213.59999999999994,86.2966577540107,431.00000000000006,380.0,2172.0,104,85.1764705882353,719.2608695652174,9,9,100.0,3141.733333333333,41,40,71,1110.8966577540104
45,8123.631688311689,216.49999999999994,85.63861471861472,431.79999999999995,620.0,2201.0,82,86.31372549019608,702.2608695652174,13,13,100.0,3527.4666666666667,42,32,71,1353.9386147186146
46,7263.600000000001,220.5000000000001,71.69999999999999,438.4000000000001,480.0,2241.0,150,87.88235294117646,685.1739130434783,14,14,100.0,4714.2,43,27,71,1210.5999999999995
47,6322.585714285713,223.00000000000009,93.96428571428571,446.79999999999995,290.0,2266.0,51,88.86274509803923,677.4347826086956,12,12,100.0,5485.666666666667,44,28,71,1053.7642857142857
48,6004.708766233764,219.99999999999994,91.58479437229437,439.1999999999998,250.0,2234.0,14,87.6078431372549,684.5652173913044,9,9,100.0,4477.2,45,40,71,1000.7847943722946
49,7312.200000000001,220.4,67.5,440.8,490.0,2240.0,28,87.84313725490196,689.2173913043479,11,11,100.0,3260.8,46,43,71,1218.7000000000003
50,6427.895495680788,211.70000000000002,81.21591594679829,428.39999999999986,350.0,2153.0,84,84.43137254901961,705.1304347826087,10,10,100.0,4032.4,47,45,71,1071.315915946799
