episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate
1,807.3121428571428,357.4000000000001,26.612142857142857,223.30000000000007,200.0,2271.0,780,89.05882352941177,417.8695652173913,1,1,100.0
2,733.4662250179895,284.90000000000003,24.16622501798954,224.40000000000003,200.0,2285.0,478,89.6078431372549,521.6086956521739,1,1,100.0
3,667.2249999999999,222.8,22.125,222.3,200.0,2264.0,538,88.7843137254902,527.4782608695652,1,1,100.0
4,692.6987267634328,219.20000000000005,52.89872676343264,220.59999999999994,200.0,2239.0,785,87.80392156862746,465.6521739130435,1,1,100.0
5,658.4999999999998,220.00000000000003,18.9,219.59999999999997,200.0,2236.0,570,87.68627450980392,538.695652173913,1,1,100.0
6,679.0214473406917,223.4,32.62144734069176,222.99999999999997,200.0,2270.0,570,89.01960784313725,531.695652173913,1,1,100.0
7,661.8239804572327,222.79999999999998,15.623980457232738,223.4,200.0,2275.0,585,89.2156862745098,499.2173913043478,1,1,100.0
8,763.7196053946054,279.29999999999995,63.51960539460539,220.89999999999998,200.0,2240.0,627,87.84313725490196,505.0869565217391,1,1,100.0
9,694.7374809014514,218.59999999999988,56.937480901451494,219.19999999999996,200.0,2233.0,590,87.5686274509804,503.8695652173913,1,1,100.0
10,679.1500000000001,218.19999999999996,42.15,218.79999999999987,200.0,2229.0,867,87.41176470588236,410.8695652173913,1,1,100.0
11,659.5857142857142,223.90000000000006,12.285714285714285,223.40000000000003,200.0,2275.0,620,89.2156862745098,530.9130434782609,1,1,100.0
12,664.3999999999996,222.8000000000001,18.0,223.59999999999997,200.0,2274.0,538,89.17647058823529,522.7391304347826,1,1,100.0
13,665.6857142857143,222.79999999999995,19.285714285714285,223.5999999999999,200.0,2275.0,758,89.2156862745098,430.95652173913044,1,1,100.0
14,661.7250000000004,222.30000000000007,16.625,222.80000000000004,200.0,2270.0,762,89.01960784313725,422.7391304347826,1,1,100.0
15,658.5666666666667,219.2000000000001,19.666666666666668,219.69999999999996,200.0,2239.0,681,87.80392156862746,468.39130434782606,1,1,100.0
16,655.5000000000002,223.40000000000006,9.0,223.10000000000002,200.0,2270.0,576,89.01960784313725,511.9130434782609,1,1,100.0
17,682.6238095238093,216.89999999999995,47.523809523809526,218.20000000000002,200.0,2216.0,892,86.90196078431373,408.4782608695652,1,1,100.0
18,660.6499999999997,223.70000000000002,13.75,223.19999999999993,200.0,2273.0,574,89.13725490196079,556.2173913043479,1,1,100.0
19,654.1756502936422,219.6000000000001,15.175650293642285,219.4,200.0,2232.0,594,87.52941176470588,511.17391304347825,1,1,100.0
20,855.3999999999995,224.8000000000001,6.0,224.60000000000005,400.0,2284.0,549,89.56862745098039,547.0,2,2,100.0
