episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate
1,867.3772427572427,359.4,43.87724275724276,224.10000000000005,240.0,2280.0,779,89.41176470588236,410.69565217391306,8,9,88.88888888888889
2,695.8750000000002,225.89999999999998,23.375,226.60000000000002,220.0,2304.0,749,90.3529411764706,391.3478260869565,6,8,75.0
3,860.4892857142861,223.10000000000005,14.689285714285715,222.70000000000007,400.0,2267.0,798,88.90196078431373,424.17391304347825,8,8,100.0
4,731.4,225.80000000000004,0.0,225.59999999999997,280.0,2294.0,811,89.9607843137255,419.04347826086956,7,8,87.5
5,878.0567860828538,279.69999999999993,38.85678608285419,219.50000000000003,340.0,2233.0,522,87.5686274509804,561.2173913043479,8,8,100.0
6,806.8235294117652,218.90000000000003,27.323529411764707,220.59999999999997,340.0,2236.0,814,87.68627450980392,462.9130434782609,8,8,100.0
7,782.5425261013498,220.5,41.64252610134963,220.40000000000003,300.0,2241.0,757,87.88235294117646,444.9130434782609,8,8,100.0
8,532.4000000000001,226.30000000000007,0.0,226.10000000000002,80.0,2299.0,831,90.15686274509804,405.5652173913044,7,8,87.5
9,707.3000000000001,224.00000000000003,0.0,223.3000000000001,260.0,2276.0,798,89.25490196078431,399.5652173913044,7,8,87.5
10,706.6121870882743,219.20000000000007,48.21218708827405,219.20000000000002,220.0,2228.0,793,87.37254901960785,451.4782608695652,6,8,75.0
11,862.1054945054948,221.80000000000004,48.7054945054945,221.6,370.0,2254.0,796,88.3921568627451,496.82608695652175,8,8,100.0
12,855.9952380952385,220.89999999999995,13.895238095238096,221.19999999999996,400.0,2251.0,513,88.27450980392156,534.3478260869565,8,8,100.0
13,745.1,221.6,2.0,221.50000000000003,300.0,2255.0,553,88.4313725490196,518.1739130434783,8,8,100.0
14,686.0992598191282,219.1,56.79925981912824,220.2000000000001,190.0,2238.0,604,87.76470588235294,502.30434782608694,7,8,87.5
15,856.2000000000005,217.9,20.6,217.69999999999993,400.0,2215.0,427,86.86274509803921,562.7391304347826,8,8,100.0
16,869.1978021978024,220.10000000000005,29.197802197802197,219.9000000000001,400.0,2237.0,441,87.72549019607843,568.9130434782609,8,8,100.0
17,733.1,224.10000000000002,4.0,225.0,280.0,2288.0,472,89.72549019607843,513.7391304347826,8,8,100.0
18,850.4999999999994,225.10000000000005,0.0,225.40000000000003,400.0,2297.0,492,90.07843137254902,533.9565217391304,8,8,100.0
19,727.5999999999998,223.09999999999994,2.0,222.49999999999994,280.0,2267.0,466,88.90196078431373,514.8260869565217,8,8,100.0
20,750.6724035768154,219.19999999999996,52.67240357681534,218.79999999999998,260.0,2228.0,579,87.37254901960785,551.1739130434783,6,8,75.0
21,605.2000000000003,223.00000000000009,9.8,222.4000000000001,150.0,2266.0,478,88.86274509803923,514.0,6,8,75.0
22,345.2397996997842,217.19999999999996,50.939799699784224,217.1,-140.0,2209.0,361,86.62745098039217,581.5217391304348,7,8,87.5
23,213.14444444444453,220.49999999999994,12.444444444444445,220.2,-240.0,2241.0,492,87.88235294117646,547.6086956521739,8,8,100.0
24,623.8272727272729,224.49999999999997,5.7272727272727275,223.59999999999994,170.0,2281.0,441,89.45098039215686,533.304347826087,7,8,87.5
25,669.1999999999999,223.70000000000007,2.0,223.49999999999997,220.0,2273.0,474,89.13725490196079,504.1304347826087,6,8,75.0
26,758.1000000000004,228.3,2.0,227.79999999999998,300.0,2319.0,458,90.94117647058823,519.9565217391304,8,8,100.0
27,653.8749999999997,223.20000000000007,7.375,223.29999999999998,200.0,2272.0,449,89.09803921568627,542.8260869565217,8,8,100.0
28,881.4449405599561,218.00000000000003,45.844940559956044,217.60000000000002,400.0,2217.0,380,86.94117647058823,601.5652173913044,8,8,100.0
29,860.3347985347984,218.8,23.034798534798536,218.49999999999994,400.0,2224.0,533,87.2156862745098,572.304347826087,8,8,100.0
30,795.4000000000001,221.79999999999998,32.2,221.39999999999998,320.0,2254.0,475,88.3921568627451,560.8260869565217,8,8,100.0
