episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,T_DELTA_P5_P4,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS
1,1089.6285714285714,216.0,64.62857142857143,428.9999999999999,380.0,2173.0,394,85.2156862745098,641.8695652173913,12,12,100.0,5004.533333333334,,0,54,71
2,1429.9,338.5,73.2,438.20000000000005,580.0,2221.0,298,87.09803921568627,644.7826086956521,15,15,100.0,4506.6,,1,54,71
3,1303.3022267206477,211.4,92.10222672064778,429.79999999999984,570.0,2161.0,181,84.74509803921568,660.695652173913,12,12,100.0,3408.9333333333334,,1,53,71
4,1288.8749999999993,218.29999999999995,93.975,436.59999999999997,540.0,2217.0,256,86.94117647058823,693.304347826087,11,11,100.0,2934.3333333333335,,2,53,71
5,1310.5090686274514,223.70000000000005,86.40906862745098,450.3999999999999,550.0,2282.0,92,89.49019607843137,686.1739130434783,12,12,100.0,3586.866666666667,,3,54,71
6,1280.132738095239,214.49999999999997,85.23273809523809,430.4000000000001,550.0,2181.0,93,85.52941176470588,686.4347826086956,11,11,100.0,2845.3333333333335,,4,47,71
7,1267.634615384615,208.9000000000001,80.33461538461539,428.4000000000001,550.0,2125.0,275,83.33333333333334,708.5652173913044,11,11,100.0,2875.0666666666666,,4,45,71
8,1249.8975563909773,219.89999999999992,84.39755639097744,445.6,500.0,2235.0,155,87.6470588235294,688.7391304347826,10,10,100.0,2815.6666666666665,,5,44,71
9,1153.9999999999993,217.70000000000005,77.3,438.99999999999983,420.0,2213.0,231,86.7843137254902,635.0869565217391,9,9,100.0,2874.733333333333,,6,53,71
10,1163.966666666667,213.5999999999999,70.16666666666666,430.19999999999976,450.0,2175.0,362,85.29411764705883,640.8260869565217,9,9,100.0,2786.0666666666666,,7,57,71
11,1113.967965367965,218.39999999999995,56.36796536796537,439.20000000000005,400.0,2231.0,359,87.49019607843137,640.7826086956521,8,8,100.0,2756.133333333333,,8,56,71
12,1324.466666666667,211.69999999999996,80.16666666666666,432.59999999999997,600.0,2164.0,287,84.86274509803921,644.5217391304348,15,15,100.0,4299.0,,9,61,71
13,1116.7397058823526,214.19999999999993,68.53970588235295,433.99999999999994,400.0,2189.0,274,85.84313725490196,673.9130434782609,8,8,100.0,2637.4666666666667,,10,56,71
14,1247.2447368421049,219.4,76.64473684210526,441.1999999999999,510.0,2241.0,261,87.88235294117646,623.1304347826087,15,15,100.0,5307.8,,11,51,71
15,1295.6785714285718,228.89999999999995,60.17857142857143,456.5999999999999,550.0,2323.0,255,91.09803921568627,657.2608695652174,11,11,100.0,2845.3333333333335,,11,53,71
16,1170.2000000000003,220.30000000000004,57.5,442.4,450.0,2239.0,168,87.80392156862746,646.3913043478261,9,9,100.0,2696.733333333333,,12,51,71
17,1345.279112551369,204.00000000000006,90.07911255136926,411.20000000000016,640.0,2087.0,146,81.84313725490196,722.304347826087,15,15,100.0,4122.266666666666,,13,44,71
18,1120.7093776641088,209.8,90.50937766410912,420.40000000000003,400.0,2134.0,72,83.68627450980392,732.8260869565217,8,8,100.0,2785.9333333333334,,13,37,71
19,1379.757219251337,223.3,90.45721925133691,445.99999999999994,620.0,2269.0,221,88.98039215686275,655.2608695652174,15,15,100.0,4802.733333333334,,14,55,71
20,1111.178571428571,213.6,68.57857142857142,428.9999999999999,400.0,2172.0,333,85.1764705882353,646.0434782608696,8,8,100.0,2815.6,,15,50,71
21,1141.3897058823534,217.39999999999995,87.58970588235294,436.3999999999998,400.0,2210.0,209,86.66666666666667,672.5217391304348,10,10,100.0,3675.866666666667,,16,48,71
22,1109.9437229437228,213.10000000000002,78.04372294372294,428.7999999999999,390.0,2177.0,174,85.37254901960785,673.2608695652174,9,9,100.0,3438.4666666666667,,17,48,71
23,1226.6247252747253,218.6,89.82472527472528,438.2,480.0,2222.0,249,87.13725490196079,667.304347826087,11,11,100.0,3409.0,,18,47,71
24,1098.5446969696968,217.49999999999986,73.64469696969697,437.3999999999997,370.0,2211.0,319,86.70588235294117,626.4782608695652,9,9,100.0,3408.6,,18,59,71
25,1198.0000000000002,210.89999999999995,85.5,431.6000000000002,470.0,2156.0,332,84.54901960784314,684.304347826087,11,11,100.0,3616.866666666667,,19,47,71
26,1223.273281543019,209.40000000000003,110.27328154301838,423.5999999999999,480.0,2130.0,201,83.52941176470588,697.4347826086956,11,11,100.0,3468.0666666666666,,20,33,71
27,1150.3268398268394,217.59999999999985,89.32683982683983,443.4,400.0,2212.0,157,86.74509803921569,722.0869565217391,14,14,100.0,5871.333333333333,,21,42,71
28,1187.8750000000002,216.19999999999993,87.875,433.7999999999999,450.0,2198.0,234,86.19607843137254,674.0,10,10,100.0,3142.0,,22,47,71
29,1379.036214630779,222.09999999999997,94.33621463077985,442.6,620.0,2257.0,83,88.50980392156863,652.8260869565217,14,14,100.0,3883.6666666666665,,23,54,71
30,1263.476136363637,207.90000000000006,97.57613636363637,418.00000000000017,540.0,2115.0,129,82.94117647058825,715.6086956521739,15,15,100.0,5011.0,,23,47,71
