episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,T_DELTA_P5_P4,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS
1,1104.2636363636357,211.70000000000005,67.36363636363636,425.19999999999993,400.0,2130.0,400,83.52941176470588,642.0,10,10,100.0,3556.8,,0,63,71
2,1422.0499999999997,214.70000000000007,77.75,429.6,700.0,2183.0,307,85.6078431372549,638.304347826087,15,15,100.0,3586.8,,1,61,71
3,1217.4499999999996,214.49999999999994,82.35,430.5999999999999,490.0,2184.0,247,85.6470588235294,649.0434782608696,11,11,100.0,3409.2,,2,59,71
4,1271.7730392156868,216.4000000000001,69.97303921568627,435.40000000000003,550.0,2200.0,341,86.27450980392157,689.4347826086956,11,11,100.0,2845.3333333333335,,3,59,71
5,1143.328571428571,220.49999999999997,75.62857142857143,447.2000000000001,400.0,2252.0,167,88.31372549019608,686.7826086956521,9,9,100.0,2993.4,,4,51,71
6,1307.8486471861472,219.9,96.54864718614719,441.4,550.0,2235.0,147,87.6470588235294,682.9130434782609,11,11,100.0,2845.3333333333335,,5,54,71
7,1280.8142857142855,206.79999999999995,89.81428571428572,424.2000000000001,560.0,2104.0,310,82.50980392156862,687.8260869565217,14,14,100.0,4150.333333333333,,6,52,71
8,1379.9411764705878,217.89999999999995,90.04117647058823,441.99999999999994,630.0,2215.0,261,86.86274509803921,659.4782608695652,15,15,100.0,4061.3333333333335,,7,54,71
9,1366.7792207792202,214.99999999999994,88.97922077922078,432.8,630.0,2186.0,234,85.72549019607844,661.7826086956521,15,15,100.0,4477.133333333333,,8,50,71
10,1232.674725274725,217.00000000000006,86.07472527472528,439.60000000000014,490.0,2206.0,191,86.50980392156863,689.0434782608696,11,11,100.0,3409.2,,9,59,71
11,1383.4403846153846,212.00000000000003,82.64038461538462,428.8000000000002,660.0,2156.0,266,84.54901960784314,695.0,15,15,100.0,4239.666666666667,,10,57,71
12,1201.3999999999994,215.39999999999995,92.0,433.9999999999999,460.0,2190.0,242,85.88235294117646,688.0434782608696,12,12,100.0,3943.0,,11,57,71
13,1114.9473484848484,215.20000000000002,96.54734848484848,433.1999999999999,370.0,2199.0,182,86.23529411764706,700.3478260869565,8,8,100.0,2815.4666666666667,,12,38,71
14,1268.828571428571,227.59999999999994,93.82857142857142,457.39999999999986,490.0,2323.0,40,91.09803921568627,684.0434782608696,11,11,100.0,3201.3333333333335,,13,48,71
15,1200.2735428786896,221.59999999999997,102.07354287868993,446.59999999999985,430.0,2263.0,97,88.74509803921569,713.9565217391304,10,10,100.0,3230.866666666667,,13,44,71
16,1153.3071428571427,218.69999999999993,94.40714285714286,440.2,400.0,2223.0,52,87.17647058823529,709.1304347826087,10,10,100.0,3587.133333333333,,14,36,71
17,1262.4,216.50000000000003,80.5,435.4000000000001,530.0,2212.0,565,86.74509803921569,554.9130434782609,15,15,100.0,4892.266666666666,,15,23,71
18,1298.2999999999997,219.30000000000004,50.0,438.9999999999999,590.0,2229.0,597,87.41176470588236,559.9130434782609,15,15,100.0,4506.666666666667,,16,27,71
19,1086.5571428571423,222.89999999999995,56.85714285714286,446.7999999999998,360.0,2265.0,337,88.8235294117647,639.9130434782609,8,8,100.0,3023.266666666667,,17,36,71
20,1142.6000000000004,223.90000000000003,62.3,446.3999999999999,410.0,2275.0,203,89.2156862745098,677.7391304347826,9,9,100.0,3112.5333333333333,,18,18,71
21,1222.4000000000005,218.80000000000007,64.0,439.59999999999985,500.0,2224.0,294,87.2156862745098,676.0,10,10,100.0,2845.2,,19,22,71
22,1149.0461538461536,222.00000000000009,71.84615384615384,445.1999999999999,410.0,2267.0,194,88.90196078431373,687.5652173913044,9,9,100.0,3052.9333333333334,,19,14,71
23,1254.2999999999993,227.20000000000005,81.5,455.60000000000014,490.0,2319.0,189,90.94117647058823,688.8260869565217,11,11,100.0,3171.6666666666665,,20,15,71
24,1165.2,226.59999999999997,66.0,452.59999999999997,420.0,2302.0,160,90.27450980392156,676.9130434782609,10,10,100.0,3260.6666666666665,,21,7,71
25,1331.1999999999991,221.59999999999997,64.0,445.59999999999985,600.0,2252.0,160,88.31372549019608,719.5652173913044,12,12,100.0,2963.866666666667,,22,10,71
26,1234.9000000000008,220.70000000000002,72.0,442.1999999999999,500.0,2254.0,164,88.3921568627451,690.9565217391304,10,10,100.0,2696.733333333333,,23,6,71
27,1148.5015479876165,221.60000000000002,81.3015479876161,445.6000000000001,400.0,2252.0,164,88.31372549019608,721.3478260869565,8,8,100.0,2785.9333333333334,,24,20,71
28,1207.6461538461538,216.60000000000008,55.84615384615385,435.2,500.0,2202.0,109,86.3529411764706,703.1304347826087,10,10,100.0,2815.6666666666665,,25,27,71
29,1427.2999999999997,227.79999999999998,33.1,456.3999999999998,710.0,2317.0,98,90.86274509803921,654.9130434782609,15,15,100.0,3497.9333333333334,,26,36,71
30,1386.5785714285726,213.09999999999997,84.47857142857144,429.00000000000006,660.0,2178.0,148,85.41176470588235,718.304347826087,15,15,100.0,3854.2,,27,19,71
