episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS,original_reward
1,2714.2571428571455,209.10000000000002,61.22857142857143,426.7999999999999,660.0,2138.0,417,83.84313725490196,626.1739130434783,15,15,100.0,3913.133333333333,0,68,71,1357.1285714285714
2,9227.85,339.9,78.075,440.00000000000006,680.0,2235.0,221,87.6470588235294,659.9130434782609,14,14,100.0,3231.0,1,47,71,1537.9749999999992
3,6566.395927601812,218.50000000000003,76.89932126696833,438.99999999999994,360.0,2221.0,252,87.09803921568627,644.9130434782609,9,9,100.0,3319.9333333333334,2,55,71,1094.399321266968
4,7742.281418581415,215.2,90.58023643023644,434.59999999999997,550.0,2188.0,174,85.80392156862744,707.8260869565217,11,11,100.0,2845.3333333333335,3,51,71,1290.380236430237
5,7926.1500000000015,220.99999999999994,86.625,443.4,570.0,2257.0,230,88.50980392156863,655.3478260869565,12,12,100.0,3438.8,4,48,71,1321.0249999999999
6,7785.599999999999,217.3,94.5,435.8,550.0,2209.0,251,86.62745098039217,661.4347826086956,11,11,100.0,2845.2,5,47,71,1297.5999999999995
7,7589.485714285716,205.60000000000005,86.5142857142857,422.7999999999997,550.0,2101.0,320,82.3921568627451,679.8695652173913,11,11,100.0,2875.0666666666666,6,58,71,1264.9142857142858
8,6980.150956937799,223.49999999999994,82.25849282296652,447.5999999999999,410.0,2272.0,158,89.09803921568627,663.9130434782609,10,10,100.0,3349.5333333333333,7,54,71,1163.3584928229668
9,7109.73571428572,214.30000000000018,85.05595238095239,435.59999999999997,450.0,2179.0,191,85.45098039215686,662.2173913043479,9,9,100.0,2696.733333333333,8,48,71,1184.9559523809523
10,6769.500000000003,212.10000000000005,82.75,433.4,400.0,2168.0,326,85.01960784313725,649.7826086956521,8,8,100.0,2667.133333333333,9,57,71,1128.2499999999998
11,7708.800000000002,215.80000000000004,83.0,435.99999999999994,550.0,2205.0,360,86.47058823529412,645.0434782608696,12,12,100.0,3616.8,10,60,71,1284.7999999999997
12,6940.800000000003,205.39999999999995,82.0,419.40000000000003,450.0,2101.0,435,82.3921568627451,631.1739130434783,9,9,100.0,2726.4,11,52,71,1156.7999999999997
13,6606.685714285715,211.1999999999999,92.11428571428571,427.79999999999984,370.0,2154.0,238,84.47058823529412,686.2608695652174,9,9,100.0,3260.4666666666667,12,54,71,1101.1142857142859
14,8435.699999999999,223.00000000000006,64.15,448.80000000000007,670.0,2266.0,356,88.86274509803923,608.3913043478261,15,15,100.0,3824.4666666666667,13,54,71,1405.95
15,2599.6,214.99999999999997,70.39999999999999,434.4000000000001,580.0,2186.0,407,85.72549019607844,629.0869565217391,12,12,100.0,3082.8,13,55,71,1299.7999999999997
16,8389.909090909094,216.19999999999996,76.31818181818181,435.7999999999997,670.0,2198.0,209,86.19607843137254,658.2173913043479,14,14,100.0,3408.9333333333334,14,57,71,1398.3181818181813
