episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS
38,1137.5661654135338,212.2,96.96616541353382,428.3999999999999,400.0,2158.0,155,84.62745098039215,718.3478260869565,8,8,100.0,2786.0666666666666,32,47,71
39,1202.1999999999998,221.5,81.5,449.1999999999999,450.0,2251.0,55,88.27450980392156,691.7826086956521,9,9,100.0,2874.866666666667,33,47,71
40,1297.0500000000004,220.9,82.55,443.5999999999999,550.0,2245.0,5,88.0392156862745,688.3478260869565,11,11,100.0,2845.3333333333335,34,53,71
41,1422.0999999999995,214.29999999999998,64.0,433.8,710.0,2179.0,100,85.45098039215686,692.4782608695652,15,15,100.0,3527.4666666666667,35,56,71
42,1390.492207792207,211.4,89.29220779220779,429.7999999999999,660.0,2150.0,129,84.31372549019608,705.5217391304348,14,14,100.0,3527.4666666666667,36,52,71
43,1415.1108597285065,205.50000000000006,100.4108597285068,419.2,690.0,2091.0,146,82.0,711.5217391304348,15,15,100.0,3586.866666666667,37,45,71
44,1197.3982037570274,214.4,102.39820375702728,430.5999999999999,450.0,2180.0,128,85.49019607843137,711.0,9,9,100.0,2667.0666666666666,38,56,71
45,1200.6470102293588,207.79999999999998,104.44701022935917,418.4,470.0,2114.0,100,82.90196078431372,715.3913043478261,10,10,100.0,3586.733333333333,39,46,71
46,1312.9999999999993,204.6,90.0,418.4,600.0,2082.0,204,81.64705882352942,706.7391304347826,12,12,100.0,2875.0666666666666,40,39,71
47,1347.9138888888888,214.4,88.7138888888889,434.80000000000007,610.0,2189.0,81,85.84313725490196,699.304347826087,13,13,100.0,3527.4666666666667,41,44,71
48,1091.2160714285717,216.80000000000007,87.61607142857143,436.8000000000001,350.0,2204.0,78,86.4313725490196,685.8695652173913,7,7,100.0,2963.8,42,50,71
49,1230.9999999999993,220.9000000000001,63.9,446.20000000000005,500.0,2256.0,38,88.47058823529412,686.0,10,10,100.0,2726.4,43,50,71
50,1109.7334733893556,208.00000000000003,81.53347338935573,420.1999999999998,400.0,2116.0,80,82.98039215686275,717.0869565217391,8,8,100.0,2786.0666666666666,44,34,71
