episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS
1,1154.4142857142851,211.59999999999997,63.214285714285715,429.6000000000001,450.0,2163.0,430,84.82352941176471,608.9565217391304,14,14,100.0,5307.8,0,66,71
2,1279.0499999999997,215.9,76.75,436.4,550.0,2201.0,467,86.31372549019608,548.3478260869565,15,15,100.0,4714.6,1,50,71
3,1378.25,218.79999999999995,72.25,437.2,650.0,2224.0,303,87.2156862745098,622.8695652173913,15,15,100.0,4299.0,2,59,71
4,1226.5952380952376,217.1999999999999,91.1952380952381,438.20000000000005,480.0,2208.0,270,86.58823529411764,676.3913043478261,11,11,100.0,3230.866666666667,3,67,71
5,1294.2790209790207,222.99999999999997,92.47902097902099,448.80000000000007,530.0,2266.0,193,88.86274509803923,654.7391304347826,15,15,100.0,4892.6,4,57,71
6,1184.670238095238,216.09999999999997,82.9702380952381,435.6,450.0,2197.0,236,86.15686274509804,666.0,10,10,100.0,3587.133333333333,5,54,71
7,1310.7953781512601,216.90000000000003,77.8953781512605,435.99999999999983,580.0,2205.0,269,86.47058823529412,654.7391304347826,14,14,100.0,4328.666666666667,5,65,71
8,1209.4798128342236,224.9,75.1798128342246,449.40000000000003,460.0,2285.0,159,89.6078431372549,661.695652173913,11,11,100.0,3527.733333333333,5,61,71
9,1292.2714285714283,215.49999999999983,81.37142857142857,435.40000000000015,560.0,2202.0,301,86.3529411764706,628.8260869565217,12,12,100.0,3587.0,6,65,71
10,1170.6940476190473,214.89999999999992,90.79404761904762,434.9999999999999,430.0,2194.0,229,86.0392156862745,652.8695652173913,11,11,100.0,3794.733333333333,7,55,71
11,1332.1000000000001,215.5,80.2,436.4,600.0,2191.0,332,85.92156862745098,656.1304347826087,14,14,100.0,4031.6,8,59,71
12,1384.819047619047,206.99999999999997,76.61904761904762,421.19999999999993,680.0,2106.0,290,82.58823529411765,687.5652173913044,15,15,100.0,3824.266666666667,9,59,71
13,1051.7570512820516,215.7,87.65705128205127,438.3999999999999,310.0,2193.0,279,86.0,679.7826086956521,9,9,100.0,3824.2,10,65,71
14,1234.6972527472524,226.59999999999994,75.49725274725274,452.59999999999985,480.0,2302.0,37,90.27450980392156,675.2173913043479,10,10,100.0,2845.0666666666666,10,65,71
15,1241.6810606060603,220.29999999999998,84.58106060606062,446.80000000000007,490.0,2239.0,128,87.80392156862746,705.6086956521739,12,12,100.0,3676.0,11,63,71
16,1294.0333333333328,218.3,94.33333333333334,441.40000000000003,540.0,2219.0,124,87.01960784313727,645.8260869565217,14,14,100.0,4299.2,12,63,71
17,1148.4333333333338,217.50000000000003,85.33333333333334,435.6000000000001,410.0,2211.0,236,86.70588235294117,691.0434782608696,10,10,100.0,3319.866666666667,12,59,71
18,1328.8999999999994,217.9,91.0,439.99999999999994,580.0,2215.0,226,86.86274509803921,691.4347826086956,15,15,100.0,4654.666666666667,13,49,71
19,1137.7207792207787,219.59999999999994,96.92077922077921,441.2,380.0,2232.0,251,87.52941176470588,654.2608695652174,9,9,100.0,3290.4,14,54,71
20,1359.2628787878782,220.39999999999995,98.4628787878788,440.4000000000001,600.0,2240.0,162,87.84313725490196,674.2608695652174,15,15,100.0,4892.333333333333,15,58,71
21,1375.7666666666662,215.70000000000002,86.86666666666667,433.1999999999999,640.0,2203.0,140,86.3921568627451,688.1739130434783,15,15,100.0,4150.666666666667,16,57,71
22,1070.9940065681449,214.50000000000009,97.0940065681445,429.40000000000015,330.0,2181.0,73,85.52941176470588,699.9565217391304,9,9,100.0,3587.0666666666666,17,55,71
23,1398.6727272727278,218.39999999999998,92.27272727272728,438.0,650.0,2220.0,224,87.05882352941177,664.9130434782609,15,15,100.0,3913.0,18,51,71
24,1270.666666666667,211.99999999999991,96.66666666666667,431.99999999999994,530.0,2156.0,270,84.54901960784314,667.7391304347826,15,15,100.0,5041.0,19,45,71
