episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate
1,23490.333333333336,278.9000000000001,55.13333333333333,216.3,22940.0,2202.0,422,86.3529411764706,595.5652173913044,498,528,94.31818181818183
2,8992.62857142857,272.4,85.12857142857143,215.09999999999997,8420.0,2171.0,215,85.13725490196077,686.6086956521739,248,310,80.0
3,17961.045129870126,215.79999999999998,86.34512987012987,218.9,17440.0,2205.0,202,86.47058823529412,661.1739130434783,410,472,86.86440677966102
4,13816.177997737559,218.99999999999997,106.87799773755657,220.29999999999998,13270.0,2224.0,170,87.2156862745098,715.0434782608696,326,391,83.37595907928389
5,23075.825000000008,221.00000000000006,91.62500000000001,223.2,22540.0,2246.0,153,88.07843137254902,679.6086956521739,562,646,86.9969040247678
6,12098.799999999997,209.90000000000006,75.5,213.4,11600.0,2135.0,381,83.72549019607844,632.304347826087,278,333,83.48348348348348
7,13294.099999999999,211.80000000000004,78.0,214.29999999999998,12790.0,2154.0,418,84.47058823529412,654.7391304347826,301,340,88.52941176470588
8,12628.249999999995,216.49999999999997,52.75,218.99999999999994,12140.0,2212.0,526,86.74509803921569,578.0434782608696,290,354,81.92090395480226
9,11041.742857142859,217.4,74.44285714285715,219.90000000000015,10530.0,2210.0,432,86.66666666666667,575.6521739130435,247,295,83.72881355932203
10,10072.257142857143,216.20000000000002,76.85714285714286,219.19999999999993,9560.0,2209.0,334,86.62745098039217,659.1739130434783,255,303,84.15841584158416
11,12285.414285714285,215.79999999999995,72.71428571428571,216.89999999999998,11780.0,2194.0,501,86.0392156862745,585.2608695652174,274,337,81.30563798219585
12,18986.41971361971,219.59999999999997,86.51971361971361,220.29999999999998,18460.0,2243.0,147,87.9607843137255,666.3913043478261,413,451,91.57427937915743
13,54967.80000000002,224.90000000000006,18.5,224.39999999999998,54500.0,2285.0,385,89.6078431372549,557.8260869565217,1237,1268,97.55520504731862
14,54496.099999999984,229.30000000000007,17.8,229.00000000000009,54020.0,2329.0,311,91.33333333333333,582.4782608695652,1315,1347,97.62435040831477
15,59847.35,229.7,17.75,229.89999999999998,59370.0,2333.0,360,91.49019607843137,585.7391304347826,1404,1439,97.5677553856845
16,58970.04772727271,224.99999999999997,10.647727272727273,224.4,58510.0,2286.0,392,89.64705882352942,581.4347826086956,1319,1345,98.06691449814127
17,11090.099999999999,206.7,73.5,209.9000000000001,10600.0,2103.0,467,82.47058823529412,628.8695652173913,240,286,83.91608391608392
18,64901.69999999997,230.0999999999999,2.0,229.5999999999999,64440.0,2337.0,77,91.64705882352942,662.3913043478261,1502,1511,99.40436796823295
19,60018.20000000001,227.2,4.0,226.99999999999994,59560.0,2308.0,212,90.50980392156863,570.304347826087,1381,1410,97.94326241134752
20,10658.800000000001,210.89999999999995,83.0,214.89999999999998,10150.0,2156.0,494,84.54901960784314,568.5652173913044,232,281,82.56227758007117
