episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate
1,760.8166666666668,282.69999999999993,77.41666666666666,220.69999999999993,180.0,2240.0,407,87.84313725490196,576.0869565217391,1,3,33.33333333333333
2,687.1,222.59999999999997,62.0,222.50000000000003,180.0,2262.0,360,88.70588235294117,568.6521739130435,1,3,33.33333333333333
3,662.8285714285714,215.39999999999998,49.22857142857143,218.20000000000002,180.0,2201.0,405,86.31372549019608,589.2173913043479,1,3,33.33333333333333
4,680.1571428571427,218.30000000000007,62.45714285714285,219.39999999999992,180.0,2230.0,419,87.45098039215686,609.3913043478261,1,3,33.33333333333333
5,658.032142857143,216.39999999999995,43.63214285714285,217.99999999999997,180.0,2209.0,403,86.62745098039217,598.8260869565217,1,3,33.33333333333333
6,666.1476190476192,217.3,52.04761904761905,216.80000000000004,180.0,2207.0,453,86.54901960784314,611.5652173913044,1,3,33.33333333333333
7,696.8916666666668,225.20000000000005,65.79166666666667,225.9,180.0,2299.0,414,90.15686274509804,542.304347826087,1,3,33.33333333333333
8,688.7392857142854,219.80000000000004,68.83928571428572,220.09999999999994,180.0,2234.0,450,87.6078431372549,597.9130434782609,1,3,33.33333333333333
9,679.057142857143,215.0999999999999,66.85714285714285,217.09999999999994,180.0,2198.0,403,86.19607843137254,580.4782608695652,1,3,33.33333333333333
10,661.5857142857144,214.00000000000003,51.58571428571428,216.00000000000003,180.0,2177.0,414,85.37254901960785,601.0,1,3,33.33333333333333
11,702.3999999999996,224.79999999999995,73.2,224.3999999999999,180.0,2284.0,399,89.56862745098039,605.3913043478261,1,3,33.33333333333333
12,703.4250000000001,219.99999999999997,82.625,220.80000000000007,180.0,2247.0,387,88.11764705882354,581.8260869565217,1,3,33.33333333333333
13,681.0000000000001,218.1,65.0,217.89999999999995,180.0,2217.0,418,86.94117647058823,569.2608695652174,1,3,33.33333333333333
14,679.8903846153846,216.49999999999991,66.59038461538461,216.79999999999993,180.0,2201.0,411,86.31372549019608,592.0434782608696,1,3,33.33333333333333
15,688.4054195804192,213.39999999999998,80.50541958041958,214.49999999999997,180.0,2170.0,384,85.09803921568627,600.3913043478261,1,3,33.33333333333333
16,674.1000000000004,215.80000000000004,60.6,217.6999999999999,180.0,2205.0,446,86.47058823529412,598.4782608695652,1,3,33.33333333333333
17,678.183333333333,219.90000000000003,56.68333333333334,221.59999999999997,180.0,2246.0,437,88.07843137254902,586.4347826086956,1,3,33.33333333333333
18,692.2333333333333,213.3,83.43333333333334,215.5,180.0,2169.0,439,85.05882352941177,630.4782608695652,1,3,33.33333333333333
19,685.6662337662336,215.70000000000002,72.26623376623377,217.70000000000002,180.0,2204.0,349,86.4313725490196,628.2173913043479,1,3,33.33333333333333
20,674.4750000000001,217.99999999999994,57.375,219.09999999999997,180.0,2216.0,434,86.90196078431373,618.9130434782609,1,3,33.33333333333333
21,693.2749999999999,213.79999999999995,83.875,215.59999999999988,180.0,2174.0,308,85.25490196078431,663.3913043478261,1,3,33.33333333333333
22,744.4999999999998,280.19999999999993,72.0,222.29999999999993,170.0,2249.0,136,88.19607843137256,643.9130434782609,1,4,25.0
23,639.017424242424,214.90000000000006,99.11742424242424,214.99999999999997,110.0,2185.0,245,85.68627450980392,665.9130434782609,1,10,10.0
24,1017.8,213.99999999999997,88.5,215.29999999999993,500.0,2182.0,212,85.5686274509804,658.4782608695652,3,13,23.076923076923077
25,1858.9083333333338,210.1999999999999,84.70833333333333,214.00000000000003,1350.0,2149.0,243,84.27450980392157,677.6086956521739,8,33,24.242424242424242
26,581.7333333333331,220.49999999999994,80.33333333333334,220.89999999999992,60.0,2241.0,184,87.88235294117646,687.1739130434783,1,15,6.666666666666667
27,988.5999999999998,220.5,68.2,219.9,480.0,2241.0,145,87.88235294117646,680.9565217391304,4,36,11.11111111111111
28,1018.6119047619045,218.99999999999994,98.61190476190477,220.99999999999994,480.0,2237.0,151,87.72549019607843,681.7826086956521,3,15,20.0
29,1499.6785714285718,206.09999999999994,91.17857142857143,212.39999999999995,990.0,2108.0,254,82.66666666666667,719.7391304347826,7,48,14.583333333333334
30,1618.7,221.39999999999995,84.0,223.29999999999998,1090.0,2250.0,159,88.23529411764706,694.6521739130435,7,38,18.421052631578945
31,1063.7153846153842,220.7,101.11538461538461,221.8999999999999,520.0,2254.0,141,88.3921568627451,699.0434782608696,4,32,12.5
32,1531.8142857142857,222.39999999999992,96.01428571428572,223.39999999999992,990.0,2271.0,90,89.05882352941177,686.2608695652174,6,27,22.22222222222222
33,1139.8,221.9,106.0,221.89999999999995,590.0,2266.0,93,88.86274509803923,672.9130434782609,4,25,16.0
34,2063.5114035087718,219.99999999999997,59.91140350877192,223.6,1560.0,2247.0,125,88.11764705882354,680.1739130434783,10,54,18.51851851851852
35,550.9960526315793,222.19999999999993,85.29605263157895,223.49999999999991,20.0,2258.0,123,88.54901960784314,690.4347826086956,1,19,5.263157894736842
36,1054.6904761904761,218.80000000000007,96.09047619047618,219.80000000000004,520.0,2224.0,106,87.2156862745098,698.1739130434783,5,53,9.433962264150944
