condition,seed,episode,phase,urgent_lot_CT_s,target_meet_rate_pct,total_reward,masking_rate
PureDRL,s42,89,eval,4299.2,91.65,1339.9,0.0
PureDRL,s42,90,eval,4417.9,88.59,1287.5,0.0
PureDRL,s42,91,eval,4239.9,88.94,1309.0,0.0
PureDRL,s42,92,eval,4210.2,88.12,1297.1,0.0
PureDRL,s42,93,eval,4239.8,88.98,1301.7,0.0
PureDRL,s42,94,eval,4536.5,88.31,1237.7,0.0
PureDRL,s42,95,eval,4536.5,88.63,1230.4,0.0
PureDRL,s42,96,eval,4388.3,87.29,1250.0,0.0
PureDRL,s42,97,eval,4091.5,87.61,1268.2,0.0
PureDRL,s42,98,eval,4388.3,90.04,1256.8,0.0
PureDRL,s42,99,eval,4358.5,86.43,1282.8,0.0
PureDRL,s42,100,eval,4417.9,88.51,1235.5,0.0
PureDRL,s123,1,train,4388.1,86.2,1096.5,0.0
PureDRL,s123,2,train,3201.1,86.0,1282.9,0.0
PureDRL,s123,3,train,3943.0,87.18,1280.3,0.0
PureDRL,s123,4,train,4239.7,84.71,1119.2,0.0
PureDRL,s123,5,train,3290.1,89.37,1097.3,0.0
PureDRL,s123,6,train,3231.1,89.25,1211.4,0.0
PureDRL,s123,7,train,4684.5,87.33,1183.1,0.0
PureDRL,s123,8,train,5307.7,89.41,1116.6,0.0
PureDRL,s123,9,train,4477.0,90.27,1310.7,0.0
PureDRL,s123,10,train,4773.7,85.61,975.7,0.0
PureDRL,s123,11,train,3795.0,85.73,1106.0,0.0
PureDRL,s123,12,train,2963.6,84.86,1059.7,0.0
PureDRL,s123,13,train,3231.1,86.0,1040.1,0.0
PureDRL,s123,14,train,3141.9,89.37,1176.3,0.0
PureDRL,s123,15,train,3675.9,88.82,1111.1,0.0
PureDRL,s123,16,train,3438.8,86.35,1326.6,0.0
PureDRL,s123,17,train,3260.4,85.18,1068.2,0.0
PureDRL,s123,18,train,5099.7,87.88,1182.6,0.0
PureDRL,s123,19,train,5189.3,86.71,1244.7,0.0
PureDRL,s123,20,train,5011.1,86.59,1238.1,0.0
PureDRL,s123,21,train,4566.1,85.45,1162.1,0.0
PureDRL,s123,22,train,4328.8,85.18,1129.6,0.0
PureDRL,s123,23,train,4239.8,88.08,1275.9,0.0
PureDRL,s123,24,train,4031.9,87.8,1229.1,0.0
PureDRL,s123,25,train,4417.6,86.71,1193.4,0.0
PureDRL,s123,26,train,4121.3,84.2,1240.9,0.0
PureDRL,s123,27,train,4477.3,86.27,1134.4,0.0
PureDRL,s123,28,train,3587.1,84.82,1156.5,0.0
PureDRL,s123,29,train,3231.1,89.73,1065.4,0.0
PureDRL,s123,30,train,4240.0,84.12,1223.7,0.0
PureDRL,s123,31,train,3142.1,84.82,1055.1,0.0
PureDRL,s123,32,train,4447.4,84.55,1187.8,0.0
PureDRL,s123,33,train,3349.6,89.18,1194.6,0.0
PureDRL,s123,34,train,3082.4,85.69,1057.1,0.0
PureDRL,s123,35,train,3171.6,88.27,1056.7,0.0
PureDRL,s123,36,train,2875.1,83.49,1243.9,0.0
PureDRL,s123,37,train,2726.4,86.82,1164.0,0.0
PureDRL,s123,38,train,2786.1,86.78,1063.4,0.0
PureDRL,s123,39,train,2874.9,87.84,1113.3,0.0
PureDRL,s123,40,train,2845.3,87.33,1211.9,0.0
PureDRL,s123,41,train,2786.1,86.04,1107.0,0.0
PureDRL,s123,42,train,3023.3,86.0,1082.3,0.0
PureDRL,s123,43,train,2815.7,84.63,1152.0,0.0
PureDRL,s123,44,train,2696.7,84.59,1099.3,0.0
PureDRL,s123,45,train,2874.9,86.47,1059.3,0.0
PureDRL,s123,46,train,2875.1,86.08,1253.7,0.0
PureDRL,s123,47,train,2845.3,87.61,1161.0,0.0
PureDRL,s123,48,train,3052.9,87.96,995.7,0.0
PureDRL,s123,49,train,2726.4,87.76,1163.6,0.0
PureDRL,s123,50,train,2874.9,85.06,1027.2,0.0
PureDRL,s123,51,train,2875.1,86.86,1259.9,0.0
PureDRL,s123,52,train,2696.7,86.94,1056.1,0.0
PureDRL,s123,53,train,2845.3,88.31,1170.4,0.0
PureDRL,s123,54,train,2845.3,83.37,1197.4,0.0
PureDRL,s123,55,train,2755.9,85.53,1103.8,0.0
PureDRL,s123,56,train,2815.7,88.08,1166.8,0.0
PureDRL,s123,57,train,2756.1,85.65,1155.0,0.0
PureDRL,s123,58,train,2845.3,87.53,1209.2,0.0
PureDRL,s123,59,train,2845.3,88.12,1168.9,0.0
PureDRL,s123,60,train,2815.6,87.88,1266.7,0.0
PureDRL,s123,61,train,2815.7,82.39,1135.1,0.0
PureDRL,s123,62,train,2815.7,88.2,1165.1,0.0
PureDRL,s123,63,train,2815.7,85.29,1098.5,0.0
PureDRL,s123,64,train,3557.3,88.82,1293.3,0.0
PureDRL,s123,65,train,2904.5,88.47,1101.6,0.0
PureDRL,s123,66,train,2726.4,87.49,1166.7,0.0
PureDRL,s123,67,train,2815.5,87.18,1111.8,0.0
PureDRL,s123,68,train,2815.7,82.47,931.3,0.0
PureDRL,s123,69,train,2815.7,86.04,1102.9,0.0
PureDRL,s123,70,train,2786.1,85.84,1104.5,0.0
PureDRL,s123,71,eval,2934.3,86.51,1153.8,0.0
PureDRL,s123,72,eval,2786.1,90.12,1128.2,0.0
PureDRL,s123,73,eval,2815.7,87.33,1156.9,0.0
PureDRL,s123,74,eval,2785.7,85.8,1146.6,0.0
PureDRL,s123,75,eval,3082.4,84.55,1167.2,0.0
PureDRL,s123,76,eval,2904.6,88.55,1167.8,0.0
PureDRL,s123,77,eval,2785.9,91.76,1291.0,0.0
PureDRL,s123,78,eval,2786.1,87.33,1058.3,0.0
PureDRL,s123,79,eval,2904.6,87.88,1111.5,0.0
PureDRL,s123,80,eval,2786.1,85.8,1048.2,0.0
PureDRL,s123,81,eval,2874.9,83.29,1061.0,0.0
PureDRL,s123,82,eval,2726.4,90.16,1177.9,0.0
PureDRL,s123,83,eval,2726.4,86.59,1152.8,0.0
PureDRL,s123,84,eval,2874.9,90.04,1107.8,0.0
PureDRL,s123,85,eval,2786.1,87.25,1058.3,0.0
PureDRL,s123,86,eval,2845.3,88.39,1215.6,0.0
PureDRL,s123,87,eval,2815.7,84.71,1141.2,0.0
PureDRL,s123,88,eval,2786.1,84.27,1088.3,0.0
PureDRL,s123,89,eval,2696.7,91.45,1139.0,0.0
PureDRL,s123,90,eval,2756.3,87.84,1113.2,0.0
PureDRL,s123,91,eval,2875.1,86.24,1251.1,0.0
PureDRL,s123,92,eval,2815.6,86.98,1206.6,0.0
PureDRL,s123,93,eval,2696.7,87.53,1162.4,0.0
PureDRL,s123,94,eval,2815.7,87.61,1162.4,0.0
PureDRL,s123,95,eval,2756.3,86.47,1100.3,0.0
PureDRL,s123,96,eval,2993.5,84.86,1120.0,0.0
PureDRL,s123,97,eval,2667.1,85.33,1096.4,0.0
PureDRL,s123,98,eval,2874.9,89.06,1099.9,0.0
PureDRL,s123,99,eval,2845.3,83.29,1080.8,0.0
PureDRL,s123,100,eval,2786.1,86.78,1104.1,0.0
PureDRL,s777,1,train,3854.0,85.02,1138.7,0.0
PureDRL,s777,2,train,4566.5,86.63,1216.7,0.0
PureDRL,s777,3,train,3468.5,86.47,1126.9,0.0
PureDRL,s777,4,train,4477.2,84.04,1197.1,0.0
PureDRL,s777,5,train,4209.9,88.24,1302.4,0.0
PureDRL,s777,6,train,4625.0,88.0,1146.6,0.0
PureDRL,s777,7,train,3735.3,84.35,1138.1,0.0
PureDRL,s777,8,train,4832.9,88.67,1037.1,0.0
PureDRL,s777,9,train,5188.9,89.25,1242.2,0.0
PureDRL,s777,10,train,4833.1,86.94,962.5,0.0
PureDRL,s777,11,train,4684.8,86.43,1138.8,0.0
PureDRL,s777,12,train,4002.5,85.37,1162.1,0.0
PureDRL,s777,13,train,4358.5,87.1,1133.5,0.0
PureDRL,s777,14,train,4447.1,90.2,1052.0,0.0
PureDRL,s777,15,train,3853.9,89.22,1135.4,0.0
PureDRL,s777,16,train,4091.4,85.84,1288.3,0.0
PureDRL,s777,17,train,4328.7,84.24,1112.4,0.0
PureDRL,s777,18,train,4210.2,87.53,1151.6,0.0
PureDRL,s777,19,train,4803.9,86.71,1191.1,0.0
PureDRL,s777,20,train,5130.0,85.73,1243.2,0.0
PureDRL,s777,21,train,4358.5,85.14,1168.5,0.0
PureDRL,s777,22,train,3557.3,85.25,1270.2,0.0
PureDRL,s777,23,train,4120.9,88.0,1255.6,0.0
PureDRL,s777,24,train,4744.2,87.29,1086.2,0.0
PureDRL,s777,25,train,4714.1,86.82,1235.4,0.0
PureDRL,s777,26,train,4150.5,84.71,1136.5,0.0
PureDRL,s777,27,train,5040.6,85.92,1212.7,0.0
PureDRL,s777,28,train,4506.8,85.33,1190.8,0.0
PureDRL,s777,29,train,4239.3,89.57,1306.8,0.0
PureDRL,s777,30,train,4477.3,83.49,1234.9,0.0
PureDRL,s777,31,train,4595.7,86.16,1206.7,0.0
PureDRL,s777,32,train,4447.0,84.71,1258.8,0.0
PureDRL,s777,33,train,3586.9,89.73,1229.0,0.0
PureDRL,s777,34,train,3112.1,86.51,1125.2,0.0
PureDRL,s777,35,train,3557.1,89.73,1228.0,0.0
PureDRL,s777,36,train,3290.4,84.47,1177.8,0.0
PureDRL,s777,37,train,4031.7,87.49,1217.9,0.0
PureDRL,s777,38,train,2786.1,85.92,1056.1,0.0
PureDRL,s777,39,train,2874.9,88.43,1121.9,0.0
PureDRL,s777,40,train,2845.3,87.57,1211.9,0.0
PureDRL,s777,41,train,3527.5,85.14,1256.9,0.0
PureDRL,s777,42,train,2934.2,88.98,1097.8,0.0
PureDRL,s777,43,train,3052.7,84.31,1167.2,0.0
PureDRL,s777,44,train,2696.7,86.04,1107.1,0.0
PureDRL,s777,45,train,2963.9,86.75,1042.8,0.0
PureDRL,s777,46,train,2875.1,87.25,1260.5,0.0
PureDRL,s777,47,train,2845.3,88.55,1169.4,0.0
PureDRL,s777,48,train,2964.0,88.82,1019.3,0.0
PureDRL,s777,49,train,2696.7,86.9,1160.8,0.0
PureDRL,s777,50,train,2786.1,85.69,1051.5,0.0
PureDRL,s777,51,train,2756.1,88.31,1218.5,0.0
PureDRL,s777,52,train,2667.1,88.86,1072.8,0.0
PureDRL,s777,53,train,2845.3,89.76,1174.1,0.0
PureDRL,s777,54,train,2845.3,83.45,1190.0,0.0
PureDRL,s777,55,train,2726.4,88.2,1117.9,0.0
PureDRL,s777,56,train,3557.3,89.88,1226.8,0.0
PureDRL,s777,57,train,2756.1,87.14,1160.8,0.0
PureDRL,s777,58,train,2845.3,88.43,1214.5,0.0
PureDRL,s777,59,train,2845.3,88.59,1169.6,0.0
PureDRL,s777,60,train,2785.9,88.94,1270.4,0.0
PureDRL,s777,61,train,2696.7,84.71,1091.7,0.0
PureDRL,s777,62,train,3527.5,88.43,1333.3,0.0
PureDRL,s777,63,train,2815.7,86.63,1107.1,0.0
PureDRL,s777,64,train,2755.9,90.0,1176.5,0.0
PureDRL,s777,65,train,2904.5,88.43,1097.5,0.0
PureDRL,s777,66,train,2726.4,88.31,1163.8,0.0
PureDRL,s777,67,train,2815.4,89.14,1119.9,0.0
PureDRL,s777,68,train,2815.7,85.92,945.9,0.0
PureDRL,s777,69,train,2815.7,87.45,1108.4,0.0
PureDRL,s777,70,train,2874.9,87.96,1096.9,0.0
PureDRL,s777,71,eval,2934.3,88.47,1169.2,0.0
PureDRL,s777,72,eval,2786.1,90.43,1130.6,0.0
PureDRL,s777,73,eval,2904.5,88.12,1141.5,0.0
PureDRL,s777,74,eval,2904.6,87.61,1211.4,0.0
PureDRL,s777,75,eval,3082.4,86.78,1187.5,0.0
PureDRL,s777,76,eval,2904.6,88.9,1172.3,0.0
PureDRL,s777,77,eval,2785.9,91.37,1287.8,0.0
PureDRL,s777,78,eval,2786.1,89.37,1071.8,0.0
PureDRL,s777,79,eval,2904.5,88.39,1118.0,0.0
PureDRL,s777,80,eval,2786.1,88.2,1065.1,0.0
PureDRL,s777,81,eval,2786.1,86.04,1104.8,0.0
PureDRL,s777,82,eval,2726.4,90.39,1178.7,0.0
PureDRL,s777,83,eval,2726.4,87.53,1160.2,0.0
PureDRL,s777,84,eval,2786.1,90.94,1136.1,0.0
PureDRL,s777,85,eval,2786.1,89.53,1074.8,0.0
PureDRL,s777,86,eval,2845.3,90.2,1231.6,0.0
PureDRL,s777,87,eval,2667.1,87.1,1109.3,0.0
PureDRL,s777,88,eval,2874.9,86.75,1086.4,0.0
PureDRL,s777,89,eval,2696.7,91.25,1138.3,0.0
PureDRL,s777,90,eval,2756.3,89.69,1125.1,0.0
PureDRL,s777,91,eval,2875.1,88.82,1269.9,0.0
PureDRL,s777,92,eval,2815.6,88.78,1217.6,0.0
PureDRL,s777,93,eval,2726.4,90.12,1176.6,0.0
PureDRL,s777,94,eval,2904.5,88.86,1151.8,0.0
